Country;1950-1955;1960-1965;1970-1975;1980-1985;1985-1990;1990-1995;1995-2000;2000-2005;2005-2010;2010-2015;2015-2020;2020-2025
Mozambique;33,3;27,7;23,7;22,5;21,6;20,3;17,5;15,4;13;11,2;9,7;8,7
Sierra Leone;35,6;33,1;27,5;23,5;24,8;27,5;26,2;21,4;17,4;13,9;12,5;11,3
Guinea-Bissau;28;24,3;21,7;19,6;18;16,3;14,5;13,6;12,6;11,4;10,2;9,1
United Kingdom;11,7;11,8;11,8;11,7;11,6;11,2;10,9;10,2;9,4;9;9;9,1
Russian Federation;11;8,1;9,4;11,3;11,1;13,3;14,6;16;14,9;13,4;13,6;13,7
United Arab Emirates;21,9;12,8;6;3,5;3;2,5;2,1;1,8;1,5;1,5;1,7;2
China;22,5;20,7;9,2;6,6;6,7;6,6;6,5;6,3;6,5;7;7,5;8,1
Japan;9,1;7,2;6,5;6,1;6,3;6,9;7,4;7,9;8,8;9,9;10,8;11,7
Germany;11,1;11,9;12,4;12,2;11,8;11,2;10,7;10,3;10,4;10,9;11,3;11,7
France;12,8;11,3;10,8;10,2;9,7;9,3;9,2;9;8,6;8,8;9;9,2
India;26,8;21,1;16,1;12,7;11,6;10,2;9,1;8,4;7,8;7,3;7,4;7,5
Mexico;16,7;11,5;9,2;6,3;5,7;5,2;4,8;4,6;4,6;4,8;4,9;5,1
Canada;8,5;7,7;7,3;7;7;7,1;7,3;7,2;7,2;7,3;7,5;7,8
USA;9,6;9,4;9,4;8,8;8,9;8,8;8,7;8,5;8,2;8,2;8,4;8,5
Australia;9,3;8,7;8,3;7,3;7,2;7;6,9;6,7;6,6;6,6;6,7;6,7
Viet Nam;14,6;11,2;12,5;7,2;6,6;6,1;5,6;5,5;5,6;5,8;5,8;6
State of Palestine;20;16,7;11,2;6,8;5,5;4,8;4,1;3,8;3,7;3,6;3,5;3,4
Ukraine;11,7;8,1;9,4;12;11,7;13,6;15,2;15,9;16,3;14,9;14,9;14,9
Italy;9,9;9,9;9,8;9,8;9,6;9,7;9,9;9,7;9,7;10,2;10,6;11,1
Brazil;15,5;12,5;9,5;8,4;7,6;6,9;6,2;5,9;5,9;5,9;6,3;6,7
Republic of Korea;16,9;12,6;7,9;6,6;5,9;5,6;5,4;5,3;5,2;5,5;6,1;6,8
Spain;10,1;8,7;8,5;7,8;8,2;8,6;8,9;8,8;8,5;8,6;9,1;9,6
Afghanistan;36,9;31,2;26,4;20,7;17,2;14,3;12,9;11;8,9;7,5;6,5;6
Indonesia;21,4;16,8;12,2;9,2;8,3;7,6;7,2;7,4;7,2;7,1;7,2;7,5
Netherlands;7,5;7,8;8,3;8,2;8,5;8,7;8,8;8,7;8,2;8,3;8,7;9,1
Switzerland;10,1;9,7;9,2;9,4;9,2;9,2;8,9;8,5;8,1;8,1;8;8,2
Turkey;24,1;18,7;14,1;10,3;8,8;7,8;6,9;6,2;5,9;5,8;5,8;6
Bulgaria;10,2;8,3;9,7;11,3;12;13;14,3;14,4;14,8;15;15,3;15,5
Latvia;12,3;10,3;11,4;12,8;12,4;14,4;14,4;14,1;14,7;14,3;15,1;15,4
